NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
AT,Austria,AT,Austria,NUTS0,F4000,0.17,3.48,2642.21,0.01,8387.9,0
AT,Austria,AT11,Burgenland (AT),NUTS2,F4000,0,0,0,,396.2,0
AT,Austria,AT12,Niederösterreich,NUTS2,F4000,0,0,0,,1918.6,0
AT,Austria,AT13,Wien,NUTS2,F4000,0,0,0,,41.5,0
AT,Austria,AT21,Kärnten,NUTS2,F4000,0,0,0,,953.8,0
AT,Austria,AT22,Steiermark,NUTS2,F4000,0,0,0,,1640.1,0
AT,Austria,AT31,Oberösterreich,NUTS2,F4000,0,0,0,,1198,0
AT,Austria,AT32,Salzburg,NUTS2,F4000,0,0,0,,715.6,0
AT,Austria,AT33,Tirol,NUTS2,F4000,0,0,0,,1264,0
AT,Austria,AT34,Vorarlberg,NUTS2,F4000,0,0,0,,260.1,0
BE,Belgium,BE,Belgium,NUTS0,F4000,0.11,0,1355.86,0.01,3052.8,0.001
BE,Belgium,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NUTS2,F4000,0,0,0,,16.1,0
BE,Belgium,BE21,Prov. Antwerpen,NUTS2,F4000,0,0,0,,286.7,0
BE,Belgium,BE22,Prov. Limburg (BE),NUTS2,F4000,0,0,0,,242.2,0
BE,Belgium,BE23,Prov. Oost-Vlaanderen,NUTS2,F4000,0,0,0,,298.2,0
BE,Belgium,BE24,Prov. Vlaams-Brabant,NUTS2,F4000,0,0,0,,210.6,0
BE,Belgium,BE25,Prov. West-Vlaanderen,NUTS2,F4000,0,0,0,,314.4,0
BE,Belgium,BE31,Prov. Brabant wallon,NUTS2,F4000,0,0,0,,109.1,0
BE,Belgium,BE32,Prov. Hainaut,NUTS2,F4000,0,0,0,,378.6,0
BE,Belgium,BE33,Prov. Liège,NUTS2,F4000,0,0,0,,386.2,0
BE,Belgium,BE34,Prov. Luxembourg (BE),NUTS2,F4000,0,0,0,,444,0
BE,Belgium,BE35,Prov. Namur,NUTS2,F4000,0,0,0,,366.6,0
BG,Bulgaria,BG,Bulgaria,NUTS0,F4000,8.71,5.94,5038.23,0.495,11037,0.106623
BG,Bulgaria,BG31,Severozapaden,NUTS2,F4000,1.22,6.58,149.27,0.816,1904.7,0.064106
BG,Bulgaria,BG32,Severen tsentralen,NUTS2,F4000,3.36,18.13,410.91,0.816,1466.7,0.229174
BG,Bulgaria,BG33,Severoiztochen,NUTS2,F4000,3.11,16.79,380.72,0.816,1464.5,0.21266
BG,Bulgaria,BG34,Yugoiztochen,NUTS2,F4000,4.14,22.31,505.67,0.816,1966.4,0.21036
BG,Bulgaria,BG41,Yugozapaden,NUTS2,F4000,0.54,2.92,66.25,0.816,2004,0.027044
BG,Bulgaria,BG42,Yuzhen tsentralen,NUTS2,F4000,2.55,13.76,311.95,0.816,2230.7,0.114398
CY,Cyprus,CY,Cyprus,NUTS0,F4000,2.68,0.55,126.15,3.156,925.1,0.269152
CZ,Czechia,CZ,Czechia,NUTS0,F4000,0.16,0.12,3524.38,0.002,7886.8,0
CZ,Czechia,CZ01,Praha,NUTS2,F4000,0,0,0,,49.6,0
CZ,Czechia,CZ02,Strední Cechy,NUTS2,F4000,0,0,0,,1101.6,0
CZ,Czechia,CZ03,Jihozápad,NUTS2,F4000,0,0,0,,1761.8,0
CZ,Czechia,CZ04,Severozápad,NUTS2,F4000,0,0,0,,864.9,0
CZ,Czechia,CZ05,Severovýchod,NUTS2,F4000,0,0,0,,1244.1,0
CZ,Czechia,CZ06,Jihovýchod,NUTS2,F4000,0,0,0,,1399.1,0
CZ,Czechia,CZ07,Strední Morava,NUTS2,F4000,0,0,0,,923,0
CZ,Czechia,CZ08,Moravskoslezsko,NUTS2,F4000,0,0,0,,542.7,0
DE,Germany (until 1990 former territory of the FRG),DE,Germany (until 1990 former territory of the FRG),NUTS0,F4000,0.91,0,16636.98,0.182,35737.6,0.000838
DE,Germany (until 1990 former territory of the FRG),DE11,Stuttgart,NUTS2,F4000,0,0,0,,1055.7,0
DE,Germany (until 1990 former territory of the FRG),DE12,Karlsruhe,NUTS2,F4000,0,0,0,,691.9,0
DE,Germany (until 1990 former territory of the FRG),DE13,Freiburg,NUTS2,F4000,0,0,0,,935.7,0
DE,Germany (until 1990 former territory of the FRG),DE14,Tübingen,NUTS2,F4000,0,0,0,,891.8,0
DE,Germany (until 1990 former territory of the FRG),DE21,Oberbayern,NUTS2,F4000,0,0,0,,1753.1,0
DE,Germany (until 1990 former territory of the FRG),DE22,Niederbayern,NUTS2,F4000,0,0,0,,1032.9,0
DE,Germany (until 1990 former territory of the FRG),DE23,Oberpfalz,NUTS2,F4000,0,0,0,,969,0
DE,Germany (until 1990 former territory of the FRG),DE24,Oberfranken,NUTS2,F4000,0,0,0,,723.1,0
DE,Germany (until 1990 former territory of the FRG),DE25,Mittelfranken,NUTS2,F4000,0,0,0,,724.5,0
DE,Germany (until 1990 former territory of the FRG),DE26,Unterfranken,NUTS2,F4000,0,0,0,,853.1,0
DE,Germany (until 1990 former territory of the FRG),DE27,Schwaben,NUTS2,F4000,0,0,0,,999.3,0
DE,Germany (until 1990 former territory of the FRG),DE30,Berlin,NUTS2,F4000,0,0,0,,89.2,0
DE,Germany (until 1990 former territory of the FRG),DE40,Brandenburg,NUTS2,F4000,0,0,0,,2965.4,0
DE,Germany (until 1990 former territory of the FRG),DE50,Bremen,NUTS2,F4000,0,0,0,,41.9,0
DE,Germany (until 1990 former territory of the FRG),DE60,Hamburg,NUTS2,F4000,0,0,0,,75.5,0
DE,Germany (until 1990 former territory of the FRG),DE71,Darmstadt,NUTS2,F4000,0,0,0,,744.5,0
DE,Germany (until 1990 former territory of the FRG),DE72,Gießen,NUTS2,F4000,0,0,0,,538.1,0
DE,Germany (until 1990 former territory of the FRG),DE73,Kassel,NUTS2,F4000,0,0,0,,828.9,0
DE,Germany (until 1990 former territory of the FRG),DE80,Mecklenburg-Vorpommern,NUTS2,F4000,0,0,0,,2321.3,0
DE,Germany (until 1990 former territory of the FRG),DE91,Braunschweig,NUTS2,F4000,0,0,0,,810,0
DE,Germany (until 1990 former territory of the FRG),DE92,Hannover,NUTS2,F4000,0,0,0,,904.8,0
DE,Germany (until 1990 former territory of the FRG),DE93,Lüneburg,NUTS2,F4000,0,0,0,,1549.6,0
DE,Germany (until 1990 former territory of the FRG),DE94,Weser-Ems,NUTS2,F4000,0,0,0,,1497.1,0
DE,Germany (until 1990 former territory of the FRG),DEA1,Düsseldorf,NUTS2,F4000,0,0,0,,529.2,0
DE,Germany (until 1990 former territory of the FRG),DEA2,Köln,NUTS2,F4000,0,0,0,,736.4,0
DE,Germany (until 1990 former territory of the FRG),DEA3,Münster,NUTS2,F4000,0,0,0,,691.7,0
DE,Germany (until 1990 former territory of the FRG),DEA4,Detmold,NUTS2,F4000,0,0,0,,652.5,0
DE,Germany (until 1990 former territory of the FRG),DEA5,Arnsberg,NUTS2,F4000,0,0,0,,801.2,0
DE,Germany (until 1990 former territory of the FRG),DEB1,Koblenz,NUTS2,F4000,0,0,0,,807.3,0
DE,Germany (until 1990 former territory of the FRG),DEB2,Trier,NUTS2,F4000,0,0,0,,492.4,0
DE,Germany (until 1990 former territory of the FRG),DEB3,Rheinhessen-Pfalz,NUTS2,F4000,0,0,0,,685.1,0
DE,Germany (until 1990 former territory of the FRG),DEC0,Saarland,NUTS2,F4000,0,0,0,,256.9,0
DE,Germany (until 1990 former territory of the FRG),DED2,Dresden,NUTS2,F4000,0,0,0,,793.1,0
DE,Germany (until 1990 former territory of the FRG),DED4,Chemnitz,NUTS2,F4000,0,0,0,,652.4,0
DE,Germany (until 1990 former territory of the FRG),DED5,Leipzig,NUTS2,F4000,0,0,0,,396.5,0
DE,Germany (until 1990 former territory of the FRG),DEE0,Sachsen-Anhalt,NUTS2,F4000,0,0,0,,2045.2,0
DE,Germany (until 1990 former territory of the FRG),DEF0,Schleswig-Holstein,NUTS2,F4000,0,0,0,,1580.2,0
DE,Germany (until 1990 former territory of the FRG),DEG0,Thüringen,NUTS2,F4000,0,0,0,,1620.2,0
DK,Denmark,DK,Denmark,NUTS0,F4000,0,0,2625.64,0.062,4292.4,0.000195
DK,Denmark,DK01,Hovedstaden,NUTS2,F4000,0,0,0,,255.9,0
DK,Denmark,DK02,Sjælland,NUTS2,F4000,0,0,0,,722.3,0
DK,Denmark,DK03,Syddanmark,NUTS2,F4000,0,0,0,,1225.6,0
DK,Denmark,DK04,Midtjylland,NUTS2,F4000,0.01,0.11,6.78,0.124,1300.6,0.000642
DK,Denmark,DK05,Nordjylland,NUTS2,F4000,0,0,0,,787.9,0
EE,Estonia,EE,Estonia,NUTS0,F4000,0,0,985.41,0,4522.7,0
EE,Estonia,EE00,Eesti,NUTS2,F4000,0,0,0,,4522.7,0
EL,Greece,EL,Greece,NUTS0,F4000,47.4,106.64,5199.68,1.89,13204.9,0.321398
EL,Greece,EL11,"Anatoliki Makedonia, Thraki (NUTS 2010)",NUTS2,F4000,0,0,0,,,
EL,Greece,EL12,Kentriki Makedonia (NUTS 2010),NUTS2,F4000,0,0,0,,,
EL,Greece,EL13,Dytiki Makedonia (NUTS 2010),NUTS2,F4000,0,0,0,,,
EL,Greece,EL14,Thessalia (NUTS 2010),NUTS2,F4000,0,0,0,,,
EL,Greece,EL21,Ipeiros (NUTS 2010),NUTS2,F4000,0,0,0,,,
EL,Greece,EL22,Ionia Nisia (NUTS 2010),NUTS2,F4000,0,0,0,,,
EL,Greece,EL23,Dytiki Ellada (NUTS 2010),NUTS2,F4000,0,0,0,,,
EL,Greece,EL24,Sterea Ellada (NUTS 2010),NUTS2,F4000,0,0,0,,,
