NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
FR,France,FRH,Bretagne,NUTS1,R2000,0.31,22.52,1779.75,0.02,,
FR,France,FRH0,Bretagne,NUTS2,R2000,0.31,22.52,1779.75,0.02,2720.79,0.01
FR,France,FRI,Nouvelle-Aquitaine,NUTS1,R2000,0,0,4245.93,0,,
FR,France,FRI1,Aquitaine,NUTS2,R2000,0,0,1592.24,0,4130.84,0
FR,France,FRI2,Limousin,NUTS2,R2000,0,0,887.26,0,1694.23,0
FR,France,FRI3,Poitou-Charentes,NUTS2,R2000,0,0,1766.43,0,2580.95,0
FR,France,FRJ,Occitanie,NUTS1,R2000,0,0,3509.83,0,,
FR,France,FRJ1,Languedoc-Roussillon,NUTS2,R2000,0,0,1012.51,0,2737.58,0
FR,France,FRJ2,Midi-Pyrénées,NUTS2,R2000,0,0,2497.32,0,4534.79,0
FR,France,FRK,Auvergne - Rhône-Alpes,NUTS1,R2000,3.19,213.24,3074.75,0.13,,
FR,France,FRK,Auvergne - Rhône-Alpes,NUTS1,R2000,3.19,0,3074.75,0.13,,
