NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
AT,Austria,AT,Austria,NUTS0,F2000,0,0,2642.21,0,8387.9,0
AT,Austria,AT11,Burgenland (AT),NUTS2,F2000,0,0,0,,396.2,0
AT,Austria,AT12,Niederösterreich,NUTS2,F2000,0,0,0,,1918.6,0
AT,Austria,AT13,Wien,NUTS2,F2000,0,0,0,,41.5,0
AT,Austria,AT21,Kärnten,NUTS2,F2000,0,0,0,,953.8,0
AT,Austria,AT22,Steiermark,NUTS2,F2000,0,0,0,,1640.1,0
AT,Austria,AT31,Oberösterreich,NUTS2,F2000,0,0,0,,1198,0
AT,Austria,AT32,Salzburg,NUTS2,F2000,0,0,0,,715.6,0
AT,Austria,AT33,Tirol,NUTS2,F2000,0,0,0,,1264,0
AT,Austria,AT34,Vorarlberg,NUTS2,F2000,0,0,0,,260.1,0
BE,Belgium,BE,Belgium,NUTS0,F2000,0,0,1355.86,0,3052.8,0
BE,Belgium,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,NUTS2,F2000,0,0,0,,16.1,0
BE,Belgium,BE21,Prov. Antwerpen,NUTS2,F2000,0,0,0,,286.7,0
BE,Belgium,BE22,Prov. Limburg (BE),NUTS2,F2000,0,0,0,,242.2,0
BE,Belgium,BE23,Prov. Oost-Vlaanderen,NUTS2,F2000,0,0,0,,298.2,0
BE,Belgium,BE24,Prov. Vlaams-Brabant,NUTS2,F2000,0,0,0,,210.6,0
BE,Belgium,BE25,Prov. West-Vlaanderen,NUTS2,F2000,0,0,0,,314.4,0
BE,Belgium,BE31,Prov. Brabant wallon,NUTS2,F2000,0,0,0,,109.1,0
BE,Belgium,BE32,Prov. Hainaut,NUTS2,F2000,0,0,0,,378.6,0
BE,Belgium,BE33,Prov. Liège,NUTS2,F2000,0,0,0,,386.2,0
BE,Belgium,BE34,Prov. Luxembourg (BE),NUTS2,F2000,0,0,0,,444,0
BE,Belgium,BE35,Prov. Namur,NUTS2,F2000,0,0,0,,366.6,0
BG,Bulgaria,BG,Bulgaria,NUTS0,F2000,0.03,0,5038.23,0,11037,0
BG,Bulgaria,BG,Bulgaria,NUTS0,F2000,0.03,0.07,5038.23,0,11037,0
BG,Bulgaria,BG31,Severozapaden,NUTS2,F2000,0,0,0,,1904.7,0
BG,Bulgaria,BG32,Severen tsentralen,NUTS2,F2000,0,0,0,,1466.7,0
BG,Bulgaria,BG33,Severoiztochen,NUTS2,F2000,0,0,0,,1464.5,0
