NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
ES53,C1600,"1.04","1.22","217.07"
ES6,C1600,"54.73","173.7","5220.41"
ES61,C1600,"54.49","173.36","4812.2"
ES62,C1600,"0.24","0.33","408.21"
ES63,C1600,"0","0","0"
ES64,C1600,"0","0","0"
ES7,C1600,"0.01","0.01","111.27"
ES7,C1600,"0.01","0","111.27"
ES70,C1600,"0.01","0.01","111.27"
ES70,C1600,"0.01","0","111.27"
FI,C1600,"0.5","0","2271.18"
FI,C1600,"0.5","1.92","2271.18"
FI1,C1600,"0.5","0","2254.78"
FI1,C1600,"0.5","1.9","2254.78"
FI13,C1600,"0","0",
FI13,C1600,"0",,
FI18,C1600,"0","0",
FI18,C1600,"0",,
FI19,C1600,"0.16","0","787.74"
FI19,C1600,"0.16","0.62","787.74"
FI1A,C1600,"0","0",
FI1A,C1600,"0",,
FI1B,C1600,"0.01","0","181.22"
FI1B,C1600,"0.01","0.02","181.22"
FI1C,C1600,"0.14","0","614.26"
FI1C,C1600,"0.14","0.56","614.26"
FI1D,C1600,"0.19","0","671.58"
FI1D,C1600,"0.19","0.69","671.58"
FI2,C1600,"0","0","16.44"
FI2,C1600,"0","0.01","16.44"
FI20,C1600,"0","0","16.44"
FI20,C1600,"0","0.01","16.44"
FR,C1600,"298.5","1495.43","29010.89"
FR1,C1600,"2.83","16.87","585.91"
FR10,C1600,"2.83","16.87","585.91"
FR2,C1600,,,
FR21,C1600,,,
FR22,C1600,,,
FR23,C1600,,,
FR24,C1600,,,
FR25,C1600,,,
FR26,C1600,,,
FR3,C1600,,,
FR30,C1600,,,
FR4,C1600,,,
FR41,C1600,,,
FR42,C1600,,,
FR43,C1600,,,
FR5,C1600,,,
FR51,C1600,,,
FR52,C1600,,,
FR53,C1600,,,
FR6,C1600,,,
FR61,C1600,,,
FR62,C1600,,,
FR63,C1600,,,
FR7,C1600,,,
FR71,C1600,,,
FR72,C1600,,,
FR8,C1600,,,
FR81,C1600,,,
FR82,C1600,,,
FR83,C1600,,,
FR9,C1600,,,
FR91,C1600,,,
FR92,C1600,,,
FR93,C1600,,,
FR94,C1600,,,
FRA,C1600,,,
FRA1,C1600,,,
FRA2,C1600,,,
FRA3,C1600,,,
FRA4,C1600,,,
FRA5,C1600,,,
FRB,C1600,"23.73","110.44","2389.86"
FRB0,C1600,"23.73","110.44","2389.86"
FRC,C1600,"31.88","153.78","2549.1"
FRC1,C1600,"27.04","128.72","1833.28"
FRC2,C1600,"4.83","25.06","715.82"
FRD,C1600,"6.84","37.12","2077.08"
FRD1,C1600,"5.94","32.65","1271.58"
FRD2,C1600,"0.9","4.48","805.5"
FRE,C1600,"3.44","22.86","2182.03"
FRE1,C1600,"1.25","8.9","829.13"
FRE2,C1600,"2.2","13.97","1352.9"
FRF,C1600,"19.64","113.71","3058.28"
FRF1,C1600,"1.85","12.73","343.25"
FRF2,C1600,"6.27","34.07","1546.67"
FRF3,C1600,"11.52","66.91","1168.35"
FRG,C1600,"32.49","183.85","2280.58"
FRG0,C1600,"32.49","183.85","2280.58"
FRH,C1600,"27.44","161.38","1779.75"
FRH0,C1600,"27.44","161.38","1779.75"
FRI,C1600,"64","297.39","4245.93"
FRI1,C1600,"14.62","61.94","1592.24"
FRI2,C1600,"27.33","131.23","887.26"
FRI3,C1600,"22.05","104.22","1766.43"
FRJ,C1600,"32.38","132.56","3509.83"
FRJ1,C1600,"4.83","17.82","1012.51"
FRJ2,C1600,"27.54","114.74","2497.32"
FRK,C1600,"51.17","254.74","3074.75"
FRK1,C1600,"35.02","169.34","1491.04"
FRK2,C1600,"16.15","85.41","1583.71"
FRL,C1600,"2.52","10","794.25"
FRL0,C1600,"2.52","10","794.25"
FRM,C1600,"0.18","0.71","302.15"
FRM0,C1600,"0.18","0.71","302.15"
FRY,C1600,"0","0","180.96"
FRY1,C1600,"0","0","49.21"
FRY2,C1600,"0","0","31.24"
FRY3,C1600,"0","0","32.23"
FRY4,C1600,"0","0","48.28"
FRY5,C1600,"0","0","20.01"
HR,C1600,"14.57","58.46","1493.86"
HR0,C1600,"14.57","58.46","1493.86"
HR01,C1600,,,
