NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
ES51,I1130,"0.16","0.32","1064.22"
ES52,I1130,"0","0","694.46"
ES53,I1130,"0","0","217.07"
ES6,I1130,"0","0","5220.41"
ES61,I1130,"0","0","4812.2"
ES62,I1130,"0","0","408.21"
ES63,I1130,"0","0","0"
ES64,I1130,"0","0","0"
ES7,I1130,"0","0","111.27"
ES70,I1130,"0","0","111.27"
FI,I1130,"0","0","2271.18"
FI1,I1130,"0","0","2254.78"
FI13,I1130,"0","0",
FI18,I1130,"0","0",
FI19,I1130,"0","0","787.74"
FI1A,I1130,"0","0",
FI1B,I1130,"0","0","181.22"
FI1C,I1130,"0","0","614.26"
FI1D,I1130,"0","0","671.58"
FI2,I1130,"0","0","16.44"
FI20,I1130,"0","0","16.44"
FR,I1130,"160.12","417.47","29010.89"
FR1,I1130,"1.62","4.54","585.91"
FR10,I1130,"1.62","4.54","585.91"
FR2,I1130,,,
FR21,I1130,,,
FR22,I1130,,,
FR23,I1130,,,
FR24,I1130,,,
FR25,I1130,,,
FR26,I1130,,,
FR3,I1130,,,
FR30,I1130,,,
FR4,I1130,,,
FR41,I1130,,,
FR42,I1130,,,
FR43,I1130,,,
FR5,I1130,,,
FR51,I1130,,,
FR52,I1130,,,
FR53,I1130,,,
FR6,I1130,,,
FR61,I1130,,,
FR62,I1130,,,
FR63,I1130,,,
FR7,I1130,,,
FR71,I1130,,,
FR72,I1130,,,
FR8,I1130,,,
FR81,I1130,,,
FR82,I1130,,,
FR83,I1130,,,
FR9,I1130,,,
FR91,I1130,,,
FR92,I1130,,,
FR93,I1130,,,
FR94,I1130,,,
FRA,I1130,,,
FRA1,I1130,,,
FRA2,I1130,,,
FRA3,I1130,,,
FRA4,I1130,,,
FRA5,I1130,,,
FRB,I1130,"4.18","10.1","2389.86"
FRB0,I1130,"4.18","10.1","2389.86"
FRC,I1130,"33.96","79.94","2549.1"
FRC1,I1130,"21.16","50.37","1833.28"
FRC2,I1130,"12.8","29.56","715.82"
FRD,I1130,"0.15","0","2077.08"
FRD,I1130,"0.15","0.37","2077.08"
FRD1,I1130,"0.08","0","1271.58"
FRD1,I1130,"0.08","0.21","1271.58"
FRD2,I1130,"0.07","0","805.5"
FRD2,I1130,"0.07","0.16","805.5"
FRE,I1130,"0.22","0.68","2182.03"
FRE1,I1130,"0.02","0.06","829.13"
FRE1,I1130,"0.02","0","829.13"
FRE2,I1130,"0.2","0.62","1352.9"
FRF,I1130,"11.08","29.84","3058.28"
FRF1,I1130,"5.97","20.16","343.25"
FRF2,I1130,"3.63","7.42","1546.67"
FRF3,I1130,"1.48","2.26","1168.35"
FRG,I1130,"0.72","1.72","2280.58"
FRG0,I1130,"0.72","1.72","2280.58"
FRH,I1130,"0.15","0.38","1779.75"
FRH0,I1130,"0.15","0.38","1779.75"
FRI,I1130,"37.18","100.78","4245.93"
FRI1,I1130,"33.87","92.92","1592.24"
FRI2,I1130,"0.14","0.3","887.26"
FRI3,I1130,"3.17","7.56","1766.43"
FRJ,I1130,"55.74","143.57","3509.83"
FRJ1,I1130,"1.3","3.06","1012.51"
FRJ2,I1130,"54.44","140.51","2497.32"
FRK,I1130,"14.53","44.04","3074.75"
FRK1,I1130,"0.94","2.31","1491.04"
FRK2,I1130,"13.59","41.73","1583.71"
FRL,I1130,"0.6","1.53","794.25"
FRL0,I1130,"0.6","1.53","794.25"
FRM,I1130,"0","0","302.15"
FRM0,I1130,"0","0","302.15"
FRY,I1130,"0","0","180.96"
FRY1,I1130,"0","0","49.21"
FRY2,I1130,"0","0","31.24"
FRY3,I1130,"0","0","32.23"
FRY4,I1130,"0","0","48.28"
FRY5,I1130,"0","0","20.01"
HR,I1130,"82.6","238.22","1493.86"
HR0,I1130,"82.6","238.22","1493.86"
HR01,I1130,,,
HR02,I1130,"79.67",,"800.02"
