NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
HR03,F3000,"0.08","0.28","4.3"
HR04,F3000,"1.07","3.61","54.85"
HU,F3000,"6.94","22.32","5210.49"
HU10,F3000,"0.55","4.91","35.29"
HU21,F3000,"0.5","4.54","32.63"
HU22,F3000,"0.65","5.84","41.95"
HU23,F3000,"0.89","7.97","57.27"
HU31,F3000,"1.9","17.05","122.52"
HU32,F3000,"0.69","6.21","44.61"
HU33,F3000,"1.98","17.8","127.85"
IE,F3000,"0.05","0.48","4475.59"
IE01,F3000,"0.01","0.28","63.94"
IE02,F3000,"0.07","1.7","383.62"
IT,F3000,"1.3","8.2","13034.85"
ITC1,F3000,"0",,"0"
ITC1,F3000,"0","0","0"
ITC2,F3000,"0",,"0"
ITC2,F3000,"0","0","0"
ITC3,F3000,"0",,"0"
ITC3,F3000,"0","0","0"
ITC4,F3000,"0",,"0"
ITC4,F3000,"0","0","0"
ITF1,F3000,"0",,"0"
ITF1,F3000,"0","0","0"
ITF2,F3000,"0",,"0"
ITF2,F3000,"0","0","0"
ITF3,F3000,"0",,"0"
ITF3,F3000,"0","0","0"
ITF4,F3000,"0",,"0"
ITF4,F3000,"0","0","0"
ITF5,F3000,"0",,"0"
ITF5,F3000,"0","0","0"
ITF6,F3000,"0",,"0"
ITF6,F3000,"0","0","0"
ITG1,F3000,"0",,"0"
ITG1,F3000,"0","0","0"
ITG2,F3000,"0",,"0"
ITG2,F3000,"0","0","0"
ITH1,F3000,"0",,"0"
ITH1,F3000,"0","0","0"
ITH2,F3000,"0",,"0"
ITH2,F3000,"0","0","0"
ITH3,F3000,"0",,"0"
ITH3,F3000,"0","0","0"
ITH4,F3000,"0",,"0"
ITH4,F3000,"0","0","0"
ITH5,F3000,"0",,"0"
ITH5,F3000,"0","0","0"
ITI1,F3000,"0",,"0"
ITI1,F3000,"0","0","0"
ITI2,F3000,"0",,"0"
ITI2,F3000,"0","0","0"
ITI3,F3000,"0",,"0"
ITI3,F3000,"0","0","0"
ITI4,F3000,"0",,"0"
ITI4,F3000,"0","0","0"
LT,F3000,"9.25","8.14","2947.62"
LT00,F3000,"9.73","28.88","1285.23"
LU,F3000,"0","0","131.85"
LU00,F3000,"0","0","0"
LV,F3000,"2.21","2.1","1953.72"
LV00,F3000,"1.47","3.2","443.03"
MT,F3000,"0","0","11.23"
MT00,F3000,"0","0","0"
NL,F3000,"1.68","20.28","1811.01"
NL11,F3000,"0.01","0.32","0.9"
NL12,F3000,"0.01","0.32","0.9"
NL13,F3000,"0.09","3.24","8.96"
NL21,F3000,"0.03","0.97","2.69"
NL22,F3000,"0.15","5.19","14.34"
NL23,F3000,"0","0","0"
NL31,F3000,"0.04","1.3","3.58"
NL32,F3000,"0.01","0.32","0.9"
NL33,F3000,"0","0","0"
NL34,F3000,"0.25","8.43","23.3"
NL41,F3000,"0.34","11.67","32.26"
NL42,F3000,"0.59","20.1","55.56"
PL,F3000,"94.77","356.64","14572.84"
PL11,F3000,"9.28","120.33","420.1"
PL12,F3000,"17.58","227.87","795.58"
PL21,F3000,"1.96","25.45","88.84"
PL22,F3000,"0.4","5.18","18.09"
PL31,F3000,"43.35","562.03","1962.21"
PL32,F3000,"3.92","50.78","177.29"
PL33,F3000,"4.82","62.52","218.29"
PL34,F3000,"2.57","33.28","116.18"
PL41,F3000,"2.31","29.94","104.52"
PL42,F3000,"3.14","40.76","142.31"
PL43,F3000,"0.47","6.1","21.31"
PL51,F3000,"1.38","17.85","62.31"
PL52,F3000,"0.11","1.38","4.82"
PL61,F3000,"0.97","12.55","43.82"
PL62,F3000,"1.46","18.88","65.93"
PL63,F3000,"1.12","14.51","50.65"
PT,F3000,"3.86","40.9","3875.79"
PT11,F3000,"0.93","3.08","14.93"
PT15,F3000,"0.44","1.44","6.97"
PT16,F3000,"0.77","2.54","12.34"
PT17,F3000,"0.01","0.04","0.2"
PT18,F3000,"1.42","4.68","22.69"
PT20,F3000,"0","0","0"
PT30,F3000,"0","0","0"
RO,F3000,"0.8","1.65","13348.99"
