NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
ES64,C1500,"0","0","0"
ES7,C1500,"0.65","1.54","111.27"
ES70,C1500,"0.65","1.54","111.27"
FI,C1500,"0","0","2271.18"
FI1,C1500,"0","0","2254.78"
FI13,C1500,"0","0",
FI18,C1500,"0","0",
FI19,C1500,"0","0","787.74"
FI1A,C1500,"0","0",
FI1B,C1500,"0","0","181.22"
FI1C,C1500,"0","0","614.26"
FI1D,C1500,"0","0","671.58"
FI2,C1500,"0","0","16.44"
FI20,C1500,"0","0","16.44"
FR,C1500,"1521.74","13713.76","29010.89"
FR1,C1500,"42.44","372.42","585.91"
FR10,C1500,"42.44","372.42","585.91"
FR2,C1500,,,
FR21,C1500,,,
FR22,C1500,,,
FR23,C1500,,,
FR24,C1500,,,
FR25,C1500,,,
FR26,C1500,,,
FR3,C1500,,,
FR30,C1500,,,
FR4,C1500,,,
FR41,C1500,,,
FR42,C1500,,,
FR43,C1500,,,
FR5,C1500,,,
FR51,C1500,,,
FR52,C1500,,,
FR53,C1500,,,
FR6,C1500,,,
FR61,C1500,,,
FR62,C1500,,,
FR63,C1500,,,
FR7,C1500,,,
FR71,C1500,,,
FR72,C1500,,,
FR8,C1500,,,
FR81,C1500,,,
FR82,C1500,,,
FR83,C1500,,,
FR9,C1500,,,
FR91,C1500,,,
FR92,C1500,,,
FR93,C1500,,,
FR94,C1500,,,
FRA,C1500,,,
FRA1,C1500,,,
FRA2,C1500,,,
FRA3,C1500,,,
FRA4,C1500,,,
FRA5,C1500,,,
FRB,C1500,"129.48","1183.3","2389.86"
FRB0,C1500,"129.48","1183.3","2389.86"
FRC,C1500,"71.23","566.11","2549.1"
FRC1,C1500,"46.82","375.98","1833.28"
FRC2,C1500,"24.41","190.13","715.82"
FRD,C1500,"30.61","258.17","2077.08"
FRD1,C1500,"21.74","187.25","1271.58"
FRD2,C1500,"8.87","70.93","805.5"
FRE,C1500,"61.9","549.22","2182.03"
FRE1,C1500,"21.53","200.65","829.13"
FRE2,C1500,"40.36","348.57","1352.9"
FRF,C1500,"177.68","1768.31","3058.28"
FRF1,C1500,"119.94","1315.58","343.25"
FRF2,C1500,"40.29","323.7","1546.67"
FRF3,C1500,"17.44","129.03","1168.35"
FRG,C1500,"138.98","1171.92","2280.58"
FRG0,C1500,"138.98","1171.92","2280.58"
FRH,C1500,"144.77","1316.02","1779.75"
FRH0,C1500,"144.77","1316.02","1779.75"
FRI,C1500,"438.92","4014.17","4245.93"
FRI1,C1500,"276.31","2704.65","1592.24"
FRI2,C1500,"6.53","44.76","887.26"
FRI3,C1500,"156.08","1264.75","1766.43"
FRJ,C1500,"148.54","1304.41","3509.83"
FRJ1,C1500,"4.02","18.89","1012.51"
FRJ2,C1500,"144.52","1285.53","2497.32"
FRK,C1500,"133.5","1178.54","3074.75"
FRK1,C1500,"38.24","307.61","1491.04"
FRK2,C1500,"95.26","870.93","1583.71"
FRL,C1500,"3.04","24.13","794.25"
FRL0,C1500,"3.04","24.13","794.25"
FRM,C1500,"0.55","6.57","302.15"
FRM0,C1500,"0.55","6.57","302.15"
FRY,C1500,"0.12","0.48","180.96"
FRY1,C1500,"0","0","49.21"
FRY2,C1500,"0","0","31.24"
FRY3,C1500,"0.05","0.25","32.23"
FRY4,C1500,"0.08","0.22","48.28"
FRY5,C1500,"0","0","20.01"
HR,C1500,"262.95","2135.59","1493.86"
HR0,C1500,"262.95","2135.59","1493.86"
HR01,C1500,,,
HR02,C1500,"190.93",,"800.02"
HR02,C1500,"190.93","1527.44","800.02"
HR03,C1500,"1.65","9.23","450.95"
HR04,C1500,"244.7","1994.06","1037.77"
HR04,C1500,"244.7",,"1037.77"
HR05,C1500,"2.32",,"10.42"
HR05,C1500,"2.32","13.16","10.42"
HR06,C1500,"92.95",,"240.19"
HR06,C1500,"92.95","784.2","240.19"
HU,C1500,"998.21","7530.06","5210.49"
HU1,C1500,"58.44","426.26","345.95"
HU10,C1500,,,
HU11,C1500,"3.93","32.4","34.33"
HU12,C1500,"54.51","393.85","311.61"
HU2,C1500,"423.36","3358.45","1889.6"
HU21,C1500,"131.77","983.75","578.41"
HU22,C1500,"95.48","734.58","565.33"
HU23,C1500,"196.11","1640.11","745.85"
HU3,C1500,"516.42","3745.36","2974.95"
HU31,C1500,"56.35","427.06","587.72"
HU32,C1500,"243.09","1835.51","1174.51"
HU33,C1500,"216.98","1482.79","1212.72"
IE,C1500,"0","0","4475.59"
IE0,C1500,"0","0","4475.59"
IE01,C1500,"0","0",
IE02,C1500,"0","0",
IE04,C1500,"0","0","1490.88"
IE05,C1500,"0","0","2028.24"
IE06,C1500,"0","0","956.48"
IT,C1500,"611.44","6283.91","13034.85"
ITC,C1500,"276.61","3137.64","2062.31"
ITC1,C1500,"137.36","1497.6","890.22"
ITC2,C1500,"0.01","0.1","57.89"
ITC3,C1500,"0.12","0.51","57.75"
ITC4,C1500,"139.13","1639.43","1056.45"
ITF,C1500,"29.66","200.01","3775.01"
ITF1,C1500,"7.69","62.94","486.62"
ITF2,C1500,"2.43","10.48","193.94"
ITF3,C1500,"13.66","98.67","568.68"
ITF4,C1500,"0.84","5.41","1551.75"
ITF5,C1500,"0.83","3.87","450.41"
ITF6,C1500,"4.21","18.64","523.6"
ITG,C1500,"1.98","16.67","2602.75"
ITG1,C1500,"0.2","1.34","1483.86"
ITG2,C1500,"1.78","15.32","1118.89"
ITH,C1500,"262.86","2584.86","2440.84"
ITH1,C1500,"0","0.03","236.33"
ITH1,C1500,"0","0","236.33"
ITH2,C1500,"0.32","1.53","136.14"
ITH3,C1500,"153.04","1490.29","794.91"
ITH4,C1500,"48.12","529.11","228.51"
ITH5,C1500,"61.38","563.91","1044.96"
ITI,C1500,"40.33","344.73","2153.95"
ITI1,C1500,"11.88","92.25","673.39"
ITI2,C1500,"10.11","93.1","329.27"
ITI3,C1500,"5.28","37.95","407.38"
ITI4,C1500,"13.06","121.43","743.9"
LT,C1500,"14.83","97.78","2947.62"
LT0,C1500,"14.83","97.78","2947.62"
LT01,C1500,"1.51","9.48","286"
LT02,C1500,"13.32","88.29","2661.63"
LU,C1500,"0.1","0.56","131.85"
LU0,C1500,,,
LV,C1500,"0","0","1953.72"
LV0,C1500,"0","0",
MT,C1500,"0","0","11.23"
MT0,C1500,"0","0",
MT00,C1500,"0","0",
NL,C1500,"16.33","141.3","1811.01"
NL1,C1500,"1.08","9.49","532.98"
NL11,C1500,"0.23","2.03","161.11"
NL12,C1500,"0.07","0.58","223.74"
NL13,C1500,"0.78","6.87","148.13"
NL2,C1500,"3.93","32.3","510.87"
NL21,C1500,"1.26","10.88","195.58"
NL22,C1500,"2.64","21.2","225.88"
NL23,C1500,"0.03","0.21","89.41"
NL3,C1500,"0.83","7.04","433.03"
NL31,C1500,"0.04","0.31","67.25"
NL32,C1500,"0","0","126.53"
NL32,C1500,"0","0.01","126.53"
NL33,C1500,"0.01","0.11","119.64"
NL33,C1500,"0.01","0","119.64"
NL34,C1500,"0.78","6.61","119.61"
NL4,C1500,"10.5","92.47","334.14"
NL41,C1500,"6.55","60.41","237.93"
NL42,C1500,"3.94","32.07","96.22"
PL,C1500,"763.39","5083.95","14572.84"
PL1,C1500,,,
PL11,C1500,,,
PL12,C1500,,,
PL2,C1500,"49.68","360.28","910.28"
PL21,C1500,"27.17","199.87","545.68"
PL22,C1500,"22.5","160.42","364.61"
PL3,C1500,,,
PL31,C1500,,,
PL32,C1500,,,
PL33,C1500,,,
PL34,C1500,,,
PL4,C1500,"206.86","1275.15","3001.98"
PL41,C1500,"156.29","997.8","1733.39"
PL42,C1500,"27.25","141.51","858.93"
PL43,C1500,"23.31","135.84","409.67"
PL5,C1500,"138.15","997.65","1395.87"
PL51,C1500,"85.7","605.98","891.46"
PL52,C1500,"52.45","391.67","504.42"
PL6,C1500,"135.29","876.29","2779.3"
PL61,C1500,"101.46","660.77","1046.08"
PL62,C1500,"21.32","137.9","985.34"
PL63,C1500,"12.5","77.63","747.88"
PL7,C1500,"46.76","295.7","1463.67"
PL71,C1500,"39.4","253.06","985.05"
PL72,C1500,"7.35","42.63","478.63"
PL8,C1500,"101.41","755.71","3038.86"
PL81,C1500,"37.38","262.56","1403.31"
PL82,C1500,"36.31","307.68","555.42"
PL84,C1500,"27.73","185.47","1080.12"
PL9,C1500,"85.26","523.17","1982.87"
PL91,C1500,"11.64","70.85","306.87"
PL92,C1500,"73.62","452.32","1675.99"
PT,C1500,"78.87","729.74","3875.79"
PT1,C1500,"78.75","729.44","3753.72"
PT11,C1500,"23.13","100.07","659.89"
PT15,C1500,"0.12","1.27","102.12"
PT16,C1500,"26.93","244.6","633.27"
PT17,C1500,"1.7","21.72","78.25"
PT18,C1500,"26.87","361.79","2280.2"
PT2,C1500,"0.09","0.2","117.15"
PT20,C1500,"0.09","0.2","117.15"
PT3,C1500,"0.03","0.1","4.91"
PT30,C1500,"0.03","0.1","4.91"
RO,C1500,"2525.27","15067.93","13348.99"
RO1,C1500,"430.9","2748.79","3514.35"
RO11,C1500,"267.68","1720.6","1780.94"
RO12,C1500,"163.22","1028.18","1733.41"
RO2,C1500,"953.56","5340.22","4080.36"
RO21,C1500,"463.43","2566.46","1937.06"
RO22,C1500,"490.13","2773.76","2143.3"
RO3,C1500,"515.23","3096.9","2390.76"
RO31,C1500,"503.03","3025.87","2318.55"
RO32,C1500,"12.2","71.03","72.21"
RO4,C1500,"625.57","3882.03","3363.53"
RO41,C1500,"318.8","1787.06","1669.95"
RO42,C1500,"306.78","2094.97","1693.57"
SE,C1500,"1.5","10.42","3005"
SE1,C1500,"0",,"865.96"
SE1,C1500,"0","0","865.96"
SE11,C1500,"0",,"89.86"
SE11,C1500,"0","0","89.86"
SE12,C1500,"0",,"776.1"
SE12,C1500,"0","0","776.1"
SE2,C1500,"1.5","10.42","1676.03"
SE21,C1500,"0.05","0","497.94"
SE22,C1500,"1.15","7.66","532.17"
SE23,C1500,"0","0","645.91"
SE3,C1500,"0","0","463.02"
SE31,C1500,"0","0","253.53"
SE32,C1500,"0",,"101.23"
SE32,C1500,"0","0","101.23"
SE33,C1500,"0",,"108.26"
SE33,C1500,"0","0","108.26"
SI,C1500,"39.1","360.34","480.54"
SI0,C1500,"39.1","360.34","480.54"
SI01,C1500,,,
SI02,C1500,,,
SI03,C1500,"36.96","344.68","339.26"
SI04,C1500,"2.14","15.66","141.28"
SK,C1500,"191.74","1443.72","1902.42"
SK0,C1500,"191.74","1443.72","1902.42"
SK01,C1500,"11.99","77.31","80.05"
SK02,C1500,"141.32","1080.77","835.22"
SK03,C1500,"10.71","71.31","448.42"
SK04,C1500,"27.73","214.33","538.74"
